Modell,Prompt,Prompt_Laenge,Prompt_Woerter,Enthaelt_Ausfuehrlich_Schluesselwort,Enthaelt_Kurz_Schluesselwort,Anzahl_Sonderzeichen,Anzahl_Zahlen,Energieverbrauch,Dauer (Sekunden)
Chatbot 1 lang,Was ist der Unterschied zwischen KI und ML? (mit beispiel),58,10,1,0,3,0,0.00021129815895497463,28.574604034423828
Chatbot 2 kurz,Was ist der Unterschied zwischen KI und ML? (in kurzform),57,10,0,1,3,0,2.4415936817428122e-05,3.3276290893554688
Chatbot 1 lang,Wie kann KI nachhaltiger werden? (in eigenen worten),52,8,1,0,3,0,0.0004161105764354984,56.23198986053467
Chatbot 2 kurz,Wie kann KI nachhaltiger werden? (kurze antwort),48,7,0,1,3,0,3.8447473670044146e-05,5.226025104522705
Chatbot 1 lang,"Erörtere, wie funktioniert sentiment analysis?",46,5,1,0,2,0,0.0004554184963679235,61.532562494277954
Chatbot 2 kurz,Wie funktioniert sentiment analysis? (kurz),43,5,0,1,3,0,4.160784291232283e-05,5.657358407974243
Chatbot 1 lang,"Erläutere, wie werden Chatbots trainiert?",41,5,1,0,2,0,0.00044461429098459614,60.06500864028931
Chatbot 2 kurz,Wie werden Chatbots trainiert? (so kurz wie möglich),52,8,0,1,3,0,3.9968179509485876e-05,5.436184644699097
Chatbot 1 lang,Erläutere Welche Herausforderungen gibt es bei der Datenqualität?,65,8,1,0,1,0,0.00040625078758337957,54.89593768119812
Chatbot 2 kurz,Welche Herausforderungen gibt es bei der Datenqualität? (kurz und bündig),73,10,0,1,3,0,3.4191223128915455e-05,4.65599799156189
Chatbot 1 lang,Wie kann man Bias im Training reduzieren? (liefere eine genaue beschreibung),76,11,1,0,3,0,0.0006170560578728738,83.36761283874512
Chatbot 2 kurz,Wie kann man Bias im Training reduzieren? (in kurzform),55,9,0,1,3,0,3.56649483096085e-05,4.84421968460083
Chatbot 1 lang,Was sind die Trends im Bereich AIaaS? (erklären sie),52,9,1,0,3,0,0.000415831005272771,56.192198276519775
Chatbot 2 kurz,Was sind die Trends im Bereich AIaaS? (maximal ein satz),56,10,0,1,3,0,4.5568711701706095e-05,6.188629865646362
Chatbot 1 lang,Wie kann man ML-Projekte agil umsetzen? (detailliert),53,8,1,0,4,0,0.0006235101162649369,84.22555232048035
Chatbot 2 kurz,Wie kann man ML-Projekte agil umsetzen? (stichpunktartig),57,8,0,1,4,0,0.0003845288118121857,51.948973417282104
Chatbot 1 lang,Was ist ein Datensatz? (ausführlich),36,5,1,0,3,0,0.0003616893459883035,48.88344669342041
Chatbot 2 kurz,Was ist ein Datensatz? (kurz zusammengefasst),45,6,0,1,3,0,3.97150844775816e-05,5.402458190917969
Chatbot 1 lang,Wie wichtig ist Datenqualität für KI-Systeme? (ausführliche erklärung),70,9,1,0,4,0,0.0004519563480593958,61.06991910934448
Chatbot 2 kurz,Wie wichtig ist Datenqualität für KI-Systeme? (kurz und bündig),63,10,0,1,4,0,4.2253518876814e-05,5.743669509887695
Chatbot 1 lang,"Nennen, was ist der Unterschied zwischen künstlicher Intelligenz und schwacher KI?",82,11,1,0,2,0,0.00018740465601516757,25.347373008728027
Chatbot 2 kurz,Was ist der Unterschied zwischen künstlicher Intelligenz und schwacher KI? (in wenigen worten),94,13,0,1,3,0,3.4903314128058554e-05,4.771693229675293
Chatbot 1 lang,Wie kann Explainable AI zur Akzeptanz von KI beitragen? (liefere eine genaue beschreibung),90,13,1,0,3,0,0.0004427481359814622,59.81180953979492
Chatbot 2 kurz,Wie kann Explainable AI zur Akzeptanz von KI beitragen? (so knapp wie möglich),78,13,0,1,3,0,3.649227848268353e-05,4.95672607421875
Chatbot 1 lang,Welche regulatorischen Anforderungen gelten für KI-Systeme in Europa? (genau),77,10,1,0,4,0,0.0004437462498490349,59.98550295829773
Chatbot 2 kurz,Welche regulatorischen Anforderungen gelten für KI-Systeme in Europa? (eine zeile),82,11,0,1,4,0,0.00013446984199210168,18.206167936325073
Chatbot 1 lang,Was sind Edge AI und ihre Vorteile? (genau),43,8,1,0,3,0,0.00017085413945654686,23.121497631072998
Chatbot 2 kurz,Was sind Edge AI und ihre Vorteile? (so knapp wie möglich),58,11,0,1,3,0,6.268390653001334e-05,8.511708974838257
Chatbot 1 lang,Wie können Unternehmen von AIaaS profitieren? (detailliert),59,7,1,0,3,0,0.0004972953774929295,67.20262002944946
Chatbot 2 kurz,Wie können Unternehmen von AIaaS profitieren? (kurz zusammengefasst),68,8,0,1,3,0,8.653292678487481e-05,11.732711553573608
Chatbot 1 lang,Welche ethischen Leitlinien sollten bei KI-Projekten beachtet werden? (ausführliche erklärung),94,11,1,0,4,0,0.0007363590546583542,99.47113060951233
Chatbot 2 kurz,Welche ethischen Leitlinien sollten bei KI-Projekten beachtet werden? (eine zeile),82,11,0,1,4,0,0.00014100622590134843,19.094600677490234
Chatbot 1 lang,Wie wird die Qualität von Trainingsdaten gemessen? (beantworte ausführlich),75,9,1,0,3,0,0.0005836600558055675,78.85971164703369
Chatbot 2 kurz,Wie wird die Qualität von Trainingsdaten gemessen? (maximal ein satz),69,10,0,1,3,0,3.9049502711571974e-05,5.308588266372681
Chatbot 1 lang,Was sind typische Fehlerquellen bei ML-Projekten? (ausführlich),63,8,1,0,4,0,0.0006930650508560344,93.62199401855469
Chatbot 2 kurz,Was sind typische Fehlerquellen bei ML-Projekten? (stichpunktartig),67,8,0,1,4,0,0.00034177565489409636,46.20095920562744
Chatbot 1 lang,Wie erfolgt die Evaluation von KI-Modellen? (schritt für schritt),65,10,1,0,4,0,0.0005404923592561417,73.02098369598389
Chatbot 2 kurz,Wie erfolgt die Evaluation von KI-Modellen? (nur das wichtigste),64,10,0,1,4,0,0.00042967658392256973,58.05822730064392
Chatbot 1 lang,"Beschreibe, was ist eine Konfusionsmatrix?",42,5,1,0,2,0,0.0002828923673613951,38.2584068775177
Chatbot 2 kurz,Was ist eine Konfusionsmatrix? (knapp),38,5,0,1,3,0,4.0864133274821145e-05,5.556639909744263
Chatbot 1 lang,Wie kann Cloud Computing die Entwicklung von KI beschleunigen? (detailliert),76,10,1,0,3,0,0.00044424102866140377,60.051647424697876
Chatbot 2 kurz,Wie kann Cloud Computing die Entwicklung von KI beschleunigen? (stichpunkte),76,10,0,1,3,0,0.00017914706423919068,24.244844913482666
Chatbot 1 lang,Wie sieht die Zukunft von AIaaS aus? (begründe),47,8,1,0,3,0,0.00038029245511496986,51.39469313621521
Chatbot 2 kurz,Wie sieht die Zukunft von AIaaS aus? (so kurz wie möglich),58,11,0,1,3,0,4.5141360298595646e-05,6.141963720321655
Chatbot 1 lang,Was versteht man unter Model Deployment? (genau),48,7,1,0,3,0,4.472548078146058e-05,6.076385498046875
Chatbot 2 kurz,Was versteht man unter Model Deployment? (kurz zusammengefasst),63,8,0,1,3,0,4.0326090182586056e-05,5.471648216247559
Chatbot 1 lang,Wie lassen sich KI-Modelle skalieren? (liefere eine genaue beschreibung),72,10,1,0,4,0,0.0005352312899158081,72.29789996147156
Chatbot 2 kurz,Wie lassen sich KI-Modelle skalieren? (eine zeile),50,8,0,1,4,0,3.9405499428373894e-05,5.366304636001587
Chatbot 1 lang,"Erörtere, wie kann man Overfitting verhindern?",46,6,1,0,2,0,0.00042477317869601933,57.402997970581055
Chatbot 2 kurz,Wie kann man Overfitting verhindern? (kurz zusammengefasst),59,7,0,1,3,0,8.197144926253667e-05,11.125900030136108
Chatbot 1 lang,Welche Tools gibt es für das Monitoring von ML-Modellen? (liefere details),74,12,1,0,4,0,0.0006602285912174657,89.19281482696533
Chatbot 2 kurz,Welche Tools gibt es für das Monitoring von ML-Modellen? (kurz),63,11,0,1,4,0,4.420724275062317e-05,5.9925312995910645
Chatbot 1 lang,"Nennen, wie wird Datenanonymisierung im ML-Kontext umgesetzt?",61,8,1,0,3,0,0.0004009488731015074,54.17399191856384
Chatbot 2 kurz,Wie wird Datenanonymisierung im ML-Kontext umgesetzt? (kurz erklären),69,9,1,1,4,0,0.00012438531295730506,16.84455633163452
Chatbot 1 lang,"Erörtere, was sind typische Herausforderungen bei der Integration von KI in bestehende Systeme?",95,13,1,0,2,0,0.00044270161669548677,59.81403207778931
Chatbot 2 kurz,Was sind typische Herausforderungen bei der Integration von KI in bestehende Systeme? (kurze antwort),101,14,0,1,3,0,3.836234076296832e-05,5.20790433883667
Chatbot 1 lang,Wie kann man Datensätze für ML synthetisch erzeugen? (in eigenen worten),72,11,1,0,3,0,0.00043014156609575544,58.13114261627197
Chatbot 2 kurz,Wie kann man Datensätze für ML synthetisch erzeugen? (maximal ein satz),71,11,0,1,3,0,4.2759094870394725e-05,5.824864387512207
Chatbot 1 lang,Wie können Unternehmen KI verantwortungsvoll einsetzen? (ausführliche erklärung),80,8,1,0,3,0,0.0005916173457547173,79.9240710735321
Chatbot 2 kurz,Wie können Unternehmen KI verantwortungsvoll einsetzen? (in wenigen worten),75,9,0,1,3,0,3.081151938447015e-05,4.199908256530762
Chatbot 1 lang,"Erörtere, was ist Transfer Learning und wann ist es sinnvoll?",61,10,1,0,2,0,0.0003506015666101106,47.38276386260986
Chatbot 2 kurz,Was ist Transfer Learning und wann ist es sinnvoll? (nur das wichtigste),72,12,0,1,3,0,0.00013954364879912318,18.899802923202515
Chatbot 1 lang,Welche Rolle spielen Datenpipelines in ML-Projekten? (ausführlich),66,8,1,0,4,0,0.0005400213463269669,72.9628005027771
Chatbot 2 kurz,Welche Rolle spielen Datenpipelines in ML-Projekten? (kurz),59,8,0,1,4,0,4.3707946929447194e-05,5.942429304122925
Chatbot 1 lang,"Erörtere, wie kann man Modelle für verschiedene Sprachen trainieren?",68,9,1,0,2,0,0.0005672309484352189,76.63158345222473
Chatbot 2 kurz,Wie kann man Modelle für verschiedene Sprachen trainieren? (in kurzform),72,10,0,1,3,0,6.222486506041534e-05,8.430598974227905
Chatbot 1 lang,Wie wirkt sich die Größe eines Modells auf dessen Energieverbrauch aus? (ausführliche erklärung),96,13,1,0,3,0,0.0004185688503833553,56.571308851242065
Chatbot 2 kurz,Wie wirkt sich die Größe eines Modells auf dessen Energieverbrauch aus? (in drei worten),88,14,0,1,3,0,2.618540713383306e-05,3.5617284774780273
Chatbot 1 lang,"Nennen, was sind aktuelle Trends in der Forschung zu generativer KI?",68,11,1,0,2,0,0.00039853361041920717,53.85517764091492
Chatbot 2 kurz,Was sind aktuelle Trends in der Forschung zu generativer KI? (prägnant),71,11,0,1,3,0,7.93425376510119e-05,10.745995283126831
Chatbot 1 lang,"Erkläre, wie kann Bias in Datensätzen erkannt werden?",53,8,1,0,2,0,0.0004540648435584739,61.352230072021484
Chatbot 2 kurz,Wie kann Bias in Datensätzen erkannt werden? (in wenigen worten),64,10,0,1,3,0,3.666722447920547e-05,4.989058971405029
Chatbot 1 lang,Wie läuft ein typischer AIaaS-Prozess ab? (genau),49,8,1,0,4,0,0.00039182300908029166,52.9562087059021
Chatbot 2 kurz,Wie läuft ein typischer AIaaS-Prozess ab? (kurz zusammengefasst),64,9,0,1,4,0,0.00013474788215910223,18.245779752731323
Chatbot 1 lang,Was sind die wichtigsten Anforderungen an Datensicherheit bei AIaaS? (begründe),79,10,1,0,3,0,0.0005058088949709446,68.3422179222107
Chatbot 2 kurz,Was sind die wichtigsten Anforderungen an Datensicherheit bei AIaaS? (kurz zusammengefasst),91,11,0,1,3,0,0.000187008948117983,25.3028826713562
Chatbot 1 lang,"Erläutere, wie wird Explainable AI in der Praxis angewendet?",60,9,1,0,2,0,0.000510523884232227,68.97586345672607
Chatbot 2 kurz,Wie wird Explainable AI in der Praxis angewendet? (kurz und bündig),67,11,0,1,3,0,9.976640322856913e-05,13.502908706665039
Chatbot 1 lang,Was bedeutet Zero-Shot Learning? (ausführlich),46,6,1,0,4,0,0.000484694126198336,65.48963332176208
Chatbot 2 kurz,Was bedeutet Zero-Shot Learning? (knapp),40,6,0,1,4,0,3.2480718264084705e-05,4.436402797698975
Chatbot 1 lang,Welche Rolle spielt Transfer Learning im KI-Bereich? (begründe),63,9,1,0,4,0,0.0002667386408095876,36.047717809677124
Chatbot 2 kurz,Welche Rolle spielt Transfer Learning im KI-Bereich? (kurz und bündig),70,11,0,1,4,0,4.6601668208653865e-05,6.329197406768799
Chatbot 1 lang,Wie können KI-Modelle in Echtzeit eingesetzt werden? (liefere eine genaue beschreibung),87,12,1,0,4,0,0.0005590549893765399,75.54806423187256
Chatbot 2 kurz,Wie können KI-Modelle in Echtzeit eingesetzt werden? (stichpunktartig),70,9,0,1,4,0,0.000277749445959875,37.555039405822754
Chatbot 1 lang,Was sind die Vorteile von AutoML? (schritt für schritt),55,9,1,0,3,0,0.000301684236154868,40.77749967575073
Chatbot 2 kurz,Was sind die Vorteile von AutoML? (kurz erklären),49,8,1,1,3,0,5.262351903745864e-05,7.140315532684326
Chatbot 1 lang,"Beschreibe, wie wird Fairness in KI-Systemen sichergestellt?",60,8,1,0,3,0,0.0004926134365965195,66.56749987602234
Chatbot 2 kurz,Wie wird Fairness in KI-Systemen sichergestellt? (kurz zusammengefasst),71,9,0,1,4,0,9.355124990420891e-05,12.672950744628906
Chatbot 1 lang,Welche KI-Technologien werden in der Industrie am meisten genutzt? (mit beispiel),81,12,1,0,4,0,0.00041575125286117634,56.182827949523926
Chatbot 2 kurz,Welche KI-Technologien werden in der Industrie am meisten genutzt? (in einem satz),82,13,0,1,4,0,4.436843518232287e-05,6.030123710632324
Chatbot 1 lang,Was sind die Aufgaben eines Data Scientists? (schritt für schritt),66,10,1,0,3,0,0.00033430846420982803,45.182883739471436
Chatbot 2 kurz,Was sind die Aufgaben eines Data Scientists? (so knapp wie möglich),67,11,0,1,3,0,3.78405483628168e-05,5.145871162414551
Chatbot 1 lang,Welche Unterschiede gibt es zwischen Regression und Klassifikation? (mit beispiel),82,10,1,0,3,0,0.00030479388656070574,41.216975688934326
Chatbot 2 kurz,Welche Unterschiede gibt es zwischen Regression und Klassifikation? (so kurz wie möglich),89,12,0,1,3,0,2.86108143029812e-05,3.8967809677124023
Chatbot 1 lang,Wie funktioniert Clustering? (begründe),39,4,1,0,3,0,0.0003706807809026076,50.10165309906006
Chatbot 2 kurz,Wie funktioniert Clustering? (in drei worten),45,6,0,1,3,0,2.2856058418589874e-05,3.123781204223633
Chatbot 1 lang,Was ist ein Embedding im ML-Kontext? (schritt für schritt),58,10,1,0,4,0,0.0003971023101585472,53.65618824958801
Chatbot 2 kurz,Was ist ein Embedding im ML-Kontext? (so knapp wie möglich),59,11,0,1,4,0,3.565866072986324e-05,4.867589950561523
Chatbot 1 lang,Welche Bedeutung hat Feature Selection? (liefere details),57,7,1,0,3,0,0.0003808094050057126,51.461308002471924
Chatbot 2 kurz,Welche Bedeutung hat Feature Selection? (maximal ein satz),58,8,0,1,3,0,3.391987424283694e-05,4.631738662719727
Chatbot 1 lang,Wie kann man die Performanz von ML-Modellen steigern? (schritt für schritt),75,12,1,0,4,0,0.0005574222390521754,75.31255984306335
Chatbot 2 kurz,Wie kann man die Performanz von ML-Modellen steigern? (stichpunktartig),71,10,0,1,4,0,0.000355283431316521,48.0315465927124
Chatbot 1 lang,Was ist Reinforcement Learning und wofür wird es genutzt? (liefere details),75,11,1,0,3,0,0.00036931166395700124,49.92056393623352
Chatbot 2 kurz,Was ist Reinforcement Learning und wofür wird es genutzt? (in drei worten),74,12,0,1,3,0,2.8308522768332755e-07,6.193588495254517
Chatbot 1 lang,Wie kann man Daten für das Training augmentieren? (begründe),60,9,1,0,3,0,0.0003926201273787247,53.06782913208008
Chatbot 2 kurz,Wie kann man Daten für das Training augmentieren? (nur das wichtigste),70,11,0,1,3,0,0.00016280062566431975,22.125163078308105
Chatbot 1 lang,Was ist eine ROC-Kurve? (liefere eine genaue beschreibung),58,9,1,0,4,0,0.00043605514924146025,58.93853425979614
Chatbot 2 kurz,Was ist eine ROC-Kurve? (so knapp wie möglich),46,9,0,1,4,0,4.2145047173826955e-05,5.740751266479492
Chatbot 1 lang,"Erörtere, wie funktioniert k-Nearest Neighbors?",47,6,1,0,3,0,0.0005015436780308314,67.78100895881653
Chatbot 2 kurz,Wie funktioniert k-Nearest Neighbors? (in wenigen worten),57,8,0,1,4,0,5.764885366065845e-05,7.8696088790893555
Chatbot 1 lang,Wie werden Modelle mit Transfer Learning weiterentwickelt? (ausführlich),72,8,1,0,3,0,0.0007443287255883581,100.57656621932983
Chatbot 2 kurz,Wie werden Modelle mit Transfer Learning weiterentwickelt? (kurze antwort),74,9,0,1,3,0,4.002158266777674e-05,5.486123561859131
